order_item_id,order_id,product_id,quantity,unit_price,discount_amount,line_total,customer_id,channel_id,store_id,order_date,billing_address_id,shipping_address_id,status,currency_code,subtotal,tax_amount,shipping_fee,total_amount,address_id,shipping_province_id,order_item_pk,date_id
5000000000,1000000000,2,2,15000.0,0.0,30000.0,356,1,,2024-11-26,2910.0,1595,FULFILLED,ARS,51600.0,10836.0,1200.0,63636.0,1595,1,1,20241126
5000000001,1000000000,1,2,12000.0,2400.0,21600.0,356,1,,2024-11-26,2910.0,1595,FULFILLED,ARS,51600.0,10836.0,1200.0,63636.0,1595,1,2,20241126
5000000002,1000000001,1,1,12000.0,240.0,11760.0,601,1,,2024-01-31,3803.0,3534,CREATED,ARS,63840.0,13406.4,900.0,78146.4,3534,1,3,20240131
5000000003,1000000001,2,2,15000.0,600.0,29400.0,601,1,,2024-01-31,3803.0,3534,CREATED,ARS,63840.0,13406.4,900.0,78146.4,3534,1,4,20240131
5000000004,1000000001,1,2,12600.0,2520.0,22680.0,601,1,,2024-01-31,3803.0,3534,CREATED,ARS,63840.0,13406.4,900.0,78146.4,3534,1,5,20240131
5000000005,1000000002,1,1,12000.0,240.0,11760.0,1234,1,,2025-02-26,1126.0,4063,FULFILLED,ARS,25260.0,5304.6,1500.0,32064.6,4063,1,6,20250226
5000000006,1000000002,2,1,15000.0,1500.0,13500.0,1234,1,,2025-02-26,1126.0,4063,FULFILLED,ARS,25260.0,5304.6,1500.0,32064.6,4063,1,7,20250226
5000000007,1000000003,1,1,12000.0,1200.0,10800.0,156,1,,2025-03-01,3665.0,1507,FULFILLED,ARS,25500.0,5355.0,0.0,30855.0,1507,1,8,20250301
5000000008,1000000003,2,1,15000.0,300.0,14700.0,156,1,,2025-03-01,3665.0,1507,FULFILLED,ARS,25500.0,5355.0,0.0,30855.0,1507,1,9,20250301
5000000009,1000000004,2,2,15750.0,1575.0,29925.0,616,2,4.0,2024-03-30,1293.0,4,FULFILLED,ARS,44175.0,9276.75,0.0,53451.75,4,4,10,20240330
5000000010,1000000004,2,1,15000.0,750.0,14250.0,616,2,4.0,2024-03-30,1293.0,4,FULFILLED,ARS,44175.0,9276.75,0.0,53451.75,4,4,11,20240330
5000000011,1000000005,1,2,12000.0,0.0,24000.0,614,2,2.0,2024-03-12,1723.0,2,FULFILLED,ARS,24000.0,5040.0,0.0,29040.0,2,2,12,20240312
5000000012,1000000006,2,1,15000.0,750.0,14250.0,188,1,,2025-07-15,1432.0,2148,REFUNDED,ARS,14250.0,2992.5,1200.0,18442.5,2148,2,13,20250715
5000000013,1000000007,2,1,15000.0,1500.0,13500.0,17,1,,2024-11-11,,3577,FULFILLED,ARS,13500.0,2835.0,1200.0,17535.0,3577,1,14,20241111
